Product,Category,Price,Stars,Summary,URL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wireless Keyboard, J JOYACCESS 2.4G Slim and Compact Wireless Keyboard with Numeric Pad for Laptop, MacBook Air, Apple, Computer, PC(Black and Grey)",Accessories,S$28.49,4.2,The delivery is really fast!!! I got the order at another day. Keyboard looks and feels good. The keyboard does what it says on the box. It is lightweight with a sleek design,https://www.amazon.sg/Wireless-Keyboard-JOYACCESS-Compact-Computer/dp/B07K6MGLDL/ref=sr_1_11?dd=XxiCC2ZWJEAm8lrakuHHqw%2C%2C&qid=1695850872&refinements=p_n_prime_domestic%3A7993547051%2Cp_36%3A2000-%2Cp_90%3A6832965051&rnid=6450031051&s=computers&sr=1-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spigen Pen Holder for Magic Keyboard Designed for Apple Pencil (2nd Generation) - Black,Accessories,S$34.99,4.4,The holder works well. It's very flimsy - it comes off immediately when you remove the iPad from the Case. This works with the Magic Keyboard and the Logitech Folio line,https://www.amazon.sg/Spigen-Holder-Keyboard-Designed-Generation/dp/B09V1V34TV/ref=sr_1_12?dd=XxiCC2ZWJEAm8lrakuHHqw%2C%2C&qid=1695850872&refinements=p_n_prime_domestic%3A7993547051%2Cp_36%3A2000-%2Cp_90%3A6832965051&rnid=6450031051&s=computers&sr=1-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech ERGO M575 Wireless Trackball Mouse Graphite,Accessories,S$119.37,4.5,"Using a trackball is not difficult or hard to get used to. You do have to keep the ball clean, though, otherwise you will notice some friction. Unlike the logitech MX",https://www.amazon.sg/Logitech-Wireless-Trackball-Mouse-Graphite/dp/B07W4DHQJ9/ref=sr_1_13?dd=XxiCC2ZWJEAm8lrakuHHqw%2C%2C&qid=1695850872&refinements=p_n_prime_domestic%3A7993547051%2Cp_36%3A2000-%2Cp_90%3A6832965051&rnid=6450031051&s=computers&sr=1-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech Signature M650 M Wireless Mouse Smartwhell Scrolling Graphite,Accessories,S$42.85,4.5,"Best silent mouse in this budget, except its scrolling wheel noise. Value for money. Ergonomic, multiple sizes, both Bluetooth and wireless options very good.",https://www.amazon.sg/Logitech-Signature-Wireless-Smartwhell-Scrolling/dp/B09QWY7JYK/ref=sr_1_14?dd=XxiCC2ZWJEAm8lrakuHHqw%2C%2C&qid=1695850872&refinements=p_n_prime_domestic%3A7993547051%2Cp_36%3A2000-%2Cp_90%3A6832965051&rnid=6450031051&s=computers&sr=1-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Logitech Signature M650 Wireless Mouse - for Small to Medium Sized Hands, 2-Year Battery, Silent Clicks, Customizable Side Buttons, Bluetooth, Multi-Device Compatibility - Off White,910-006264",Accessories,S$40.00,4.6,"First time purchasing a white color mouse as I have too many black ones. So far loving the matte finish. Quite clicks especially in the office, won't disturb others. The media could",https://www.amazon.sg/Logitech-Signature-M650-Wireless-Mouse/dp/B09QX61NPN/ref=sr_1_15?dd=XxiCC2ZWJEAm8lrakuHHqw%2C%2C&qid=1695850872&refinements=p_n_prime_domestic%3A7993547051%2Cp_36%3A2000-%2Cp_90%3A6832965051&rnid=6450031051&s=computers&sr=1-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Logitech K580 Slim Wireless Multi-Device Keyboard, Black",Accessories,S$54.30,4.4,"The keyboard has been mentioned as ""ultra quiet"" in the description, but the truth is far from it. It makes the same amount of noise that you'd expect from a membrane",https://www.amazon.sg/Logitech-Wireless-Multi-Device-Keyboard-Black/dp/B07Y13T33K/ref=sr_1_16?dd=XxiCC2ZWJEAm8lrakuHHqw%2C%2C&qid=1695850872&refinements=p_n_prime_domestic%3A7993547051%2Cp_36%3A2000-%2Cp_90%3A6832965051&rnid=6450031051&s=computers&sr=1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech K580 Multi Device Wireless Keyboard Ultra Slim Compact Off White,Accessories,S$58.90,4.5,"An elegant and modern wireless keyboard! I'm using it for my laptop, but it can also be used for phones and tablets. The keys are very tactile and have a very clicky",https://www.amazon.sg/Logitech-Device-Wireless-Keyboard-Compact/dp/B07Y1F8RFR/ref=sr_1_17?dd=XxiCC2ZWJEAm8lrakuHHqw%2C%2C&qid=1695850872&refinements=p_n_prime_domestic%3A7993547051%2Cp_36%3A2000-%2Cp_90%3A6832965051&rnid=6450031051&s=computers&sr=1-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Logitech M720 Triathalon Multi-Device Wireless Mouse – Easily Move Text, Images and Files Between 3 Windows and Apple Mac Computers Paired with Bluetooth or USB, Hyper-Fast Scrolling, Black",Accessories,S$97.96,4.6,"The shape, size, and weight of this mouse are perfect for me. The indentation on the left side holsters my thumb comfortably, while the high, rounded part on the top",https://www.amazon.sg/Logitech-Triathalon-Multi-Device-Wireless-Mouse/dp/B01LF37K80/ref=sr_1_18?dd=XxiCC2ZWJEAm8lrakuHHqw%2C%2C&qid=1695850872&refinements=p_n_prime_domestic%3A7993547051%2Cp_36%3A2000-%2Cp_90%3A6832965051&rnid=6450031051&s=computers&sr=1-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UGREEN Wireless Keyboard and Mouse Combo, 2.4GHz Ergonomic Keyboard Mouse, Compact Silent Cordless Full Size Computer Keyboard, Mouse 5 DPI Levels up to 4000, for Computer, Laptop, PC, Windows, Mac",Accessories,S$65.97,4.4,The keys require a bit of an effort to press and the space key does not register half the time. The only good thing is that the setup is straightforward and it is plug and play,https://www.amazon.sg/UGREEN-Wireless-Keyboard-Ergonomic-Cordless/dp/B0BVZ1B759/ref=sr_1_19?dd=XxiCC2ZWJEAm8lrakuHHqw%2C%2C&qid=1695850872&refinements=p_n_prime_domestic%3A7993547051%2Cp_36%3A2000-%2Cp_90%3A6832965051&rnid=6450031051&s=computers&sr=1-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Satechi Slim X1 Bluetooth Backlit Keyboard Illuminated Keys & Multi-Device Sync Compatible with MacBook Pro/Air 2020, 2020 iMac, 2020 iPad Pro/Air, 2012 & Newer Mac Devices",Accessories,S$139.99,4.4,This product embodies just about everything I'm looking for in a keyboard. Set up was easy from the start and it looks great as well. The price is reasonable for a well built product,https://www.amazon.sg/Bluetooth-Keyboard-Illuminated-Multi-Device-Compatible/dp/B08Q2CB7DZ/ref=sr_1_20?dd=XxiCC2ZWJEAm8lrakuHHqw%2C%2C&qid=1695850872&refinements=p_n_prime_domestic%3A7993547051%2Cp_36%3A2000-%2Cp_90%3A6832965051&rnid=6450031051&s=computers&sr=1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Razer RZ02-03330500-R3M1 Gigantus V2 Soft Gaming Mouse Mat with Micro Weave Cloth Surface, 3XL Black/Green",Accessories,S$17.00,4.6,The mouse slide slides well through the mat and in the time I've been testing it I haven't had any problems. Feels nice but it's a weird size but that's on,https://www.amazon.sg/Razer-RZ02-03330500-R3M1-Gigantus-Gaming-Surface/dp/B086RH28FW/ref=sr_1_21?dd=XxiCC2ZWJEAm8lrakuHHqw%2C%2C&qid=1695850872&refinements=p_n_prime_domestic%3A7993547051%2Cp_36%3A2000-%2Cp_90%3A6832965051&rnid=6450031051&s=computers&sr=1-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SkyPAD Glas 3.0 Regular Gaming Mouse Pad with cloud Logo | Professional Large Mouse Mat |  300 x 350 mm |  White  | Special glass surface with improved precision and speed,Accessories,S$163.02,4.6,The glide and smoothness of this pad is unmatched. The sense of mouse tracking I get feels so pristine it's hard to really put into words. This pad will punish your mistakes hard,https://www.amazon.sg/SkyPAD-Glas-3-0-Regular-Professional-improved-precision/dp/B0B5LMWSMT/ref=sr_1_22?dd=XxiCC2ZWJEAm8lrakuHHqw%2C%2C&qid=1695850872&refinements=p_n_prime_domestic%3A7993547051%2Cp_36%3A2000-%2Cp_90%3A6832965051&rnid=6450031051&s=computers&sr=1-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wacom One Pen CP91300B2Z for Wacom One Creative Pen Display, 5.6"", Black/Silver",Accessories,S$25.84,4.7,Wacom One Stylus is a stylus that works with the Galaxy Tab S3. It takes some adjustments because of the grip and the nibs difference. Wacom,https://www.amazon.sg/Wacom-CP91300B2Z-Creative-Display-Silver/dp/B084DVTSC9/ref=sr_1_23?dd=XxiCC2ZWJEAm8lrakuHHqw%2C%2C&qid=1695850872&refinements=p_n_prime_domestic%3A7993547051%2Cp_36%3A2000-%2Cp_90%3A6832965051&rnid=6450031051&s=computers&sr=1-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
